Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Avg. volume,Age (mo),Winning months,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
Buggyra Coin Zero,0.0136,0.0191,14.83,- 5.43,N/A,38.34 MM,39.89 K,34903,4,8.00,0.0804,-76.30,0.00001995,-87.92
Centrality,0.4315,0.0471,- 9.19,- 92.07,N/A,38.04 MM,18.30 K,5018,11,17.00,0.5363,-91.22,0.00006002,-90.09
PIVX,0.0012,0.6688,- 22.09,55725.70,N/A,37.98 MM,2.88 MM,619410,36,25.00,13.80,-95.15,0.0017,-95.11
ODEM,0.0576,0.1626,4.99,275.90,N/A,37.45 MM,5.23 MM,987342,10,42.00,0.5450,-70.16,0.00008790,-76.64
ProximaX,0.0050,0.0061,- 6.63,- 45.53,N/A,37.02 MM,9.01 MM,3578373,6,17.00,0.0061,-1.02,0.00000147,-47.67
Spectre.ai Dividend Token,2.07,0.4481,- 26.84,- 92.59,N/A,36.77 MM,9.78 K,7227,13,33.00,2.63,-82.94,0.0004,-85.51
TomoChain,0.6158,0.6120,- 7.84,- 42.97,N/A,36.62 MM,423.53 K,693670,11,25.00,2.14,-71.35,0.0002,-65.33
Kin,0.00009341,0.00004834,- 21.45,- 72.02,N/A,36.55 MM,2.09 MM,309424,16,17.00,0.0013,-96.30,0.00000008,-87.16
IoTeX,0.0320,0.0104,- 26.95,- 79.02,N/A,36.50 MM,2.80 MM,918887,8,8.00,0.0683,-84.73,0.00000918,-85.63
STASIS EURS,1.17,1.13,- 0.63,- 4.15,N/A,36.23 MM,1.13 MM,435491,6,8.00,1.30,-12.66,0.0004,-60.28
Storj,0.5221,0.2648,- 23.36,- 73.87,N/A,35.96 MM,8.55 MM,502835,19,42.00,3.04,-91.30,0.0006,-94.31
Enigma,0.6133,0.4764,- 26.20,- 58.05,N/A,35.65 MM,3.89 MM,505971,16,25.00,8.06,-94.09,0.0006,-89.15
Bibox Token,0.5692,0.3133,- 29.94,- 78.64,N/A,34.28 MM,10.29 MM,686065,13,17.00,3.70,-91.53,0.0003,-84.25
