Name,Start price,Price,CMGR[$] 3mo,Cum. ROI,Avg. Mkt. Cap,Mkt. Cap,24h Vol,Age (mo),Winning months,Avg. volume,ATH,% fm. ATH,ATH (BTC),% fm. ATH (BTC)
WINk,0.0005,0.0001,- 30.42,- 77.70,29351214,20.23 MM,1.44 MM,1918087,4,8.00,0.0004,-75.41,0.00000004,-72.77
Revain,0.0872,0.0412,- 17.70,- 51.96,21996608,19.97 MM,294.32 K,444025,25,42.00,3.83,-98.92,0.0004,-98.62
ReddCoin,0.00003477,0.0007,- 18.99,1875.06,22194761,19.63 MM,82.80 K,38615,70,25.00,0.0266,-97.44,0.00000167,-94.62
Wanchain,4.37,0.1829,- 18.34,- 95.62,23175695,19.42 MM,1.06 MM,1562935,20,42.00,9.82,-98.14,0.0010,-97.59
Lina,0.0298,0.0691,- 9.29,128.32,22140403,19.14 MM,559.19 K,1493213,16,58.00,0.2899,-76.17,0.00003321,-72.06
EDC Blockchain,459.89,0.0071,18.78,- 100.00,24859583,19.04 MM,503.47 K,921660,39,33.00,115.13,-99.99,0.2001,-100.00
Storeum,0.5694,0.0940,55.45,- 83.49,19392522,18.82 MM,0.00,7270,4,8.00,2.37,-96.03,0.0003,-96.15
QASH,0.4825,0.0538,- 17.21,- 89.33,19740227,18.82 MM,181.17 K,322614,24,33.00,2.48,-97.83,0.0002,-95.88
Binance USD,1.00,1.01,0.1455,0.1434,19254233,18.46 MM,8.84 MM,8936079,2,8.00,1.03,-1.96,0.0002,-11.36
Diamond Platform Token,6.01,12.46,- 2.76,110.52,16255486,18.30 MM,124.98 K,37819,7,33.00,15.36,-18.88,0.0018,-9.49
General Attention Currency,2.36,1.83,- 5.87,- 23.06,20358278,18.29 MM,1.45 K,1815,4,17.00,2.76,-33.66,0.0003,-8.97
TrueChain,1.13,0.2273,- 10.23,- 80.96,22169135,18.09 MM,59.18 MM,20750105,22,50.00,3.45,-93.40,0.0004,-92.76
Dragon Coins,2.22,0.0515,- 28.49,- 97.94,27229812,17.96 MM,31.83 K,39563,20,42.00,1.53,-96.63,0.0002,-96.56
Civic,0.1612,0.0267,- 12.34,- 82.34,24072510,17.90 MM,1.99 MM,2743993,29,33.00,1.37,-98.05,0.0002,-98.04
Divi,0.8222,0.0128,- 6.44,- 98.58,16415753,17.80 MM,59.63 K,117475,24,42.00,11.77,-99.89,0.0008,-99.79
TomoChain,0.6158,0.2694,- 16.00,- 56.87,21629230,17.64 MM,5.22 MM,13030383,21,50.00,2.14,-87.39,0.0002,-83.76
Thunder Token,0.0293,0.0061,13.72,- 69.76,28767213,17.61 MM,1.56 MM,3461592,7,17.00,0.0251,-75.82,0.00000313,-73.81
BHPCoin,0.8269,0.8598,- 12.93,1.82,18985496,17.35 MM,1.78 MM,7607833,16,58.00,1.73,-50.33,0.0004,-68.80
Bancor,13.74,0.2700,- 8.88,- 98.06,18495360,16.95 MM,10.52 MM,6892027,30,33.00,10.35,-97.39,0.0013,-97.23
C20,3.86,0.4188,- 4.05,- 88.66,17856418,16.91 MM,1.22 K,2995,22,42.00,3.56,-88.24,0.0003,-82.77
Project Pai,1.31,0.0117,- 20.14,- 99.05,25937275,16.90 MM,467.83 K,892708,17,42.00,1.26,-99.08,0.0002,-99.20
Loki,0.7456,0.3800,47.62,- 42.41,14309158,16.88 MM,26.08 K,41697,18,42.00,0.8259,-54.00,0.0001,-53.62
BitcoinHD,29.74,3.10,- 36.60,- 89.01,26691181,16.76 MM,3.17 MM,15351008,6,8.00,41.11,-92.45,0.0044,-90.58
Aragon,1.49,0.5322,- 0.36,- 61.76,19977197,16.61 MM,4.20 K,12604,31,50.00,7.51,-92.91,0.0014,-95.06
Constellation,0.0324,0.0182,37.61,- 42.46,15917563,16.53 MM,1.84 MM,2039905,17,50.00,0.0302,-39.77,0.00000456,-46.51
Gatechain Token,0.9064,0.3809,- 19.43,- 56.88,20423394,16.52 MM,1.41 MM,3065477,3,8.00,0.7547,-49.53,0.00007476,-31.60
Envion,0.9555,0.1279,- 9.21,- 90.79,18379795,16.30 MM,494.93,5130,22,75.00,0.9158,-86.03,0.00008892,-80.69
