Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap
Pura,747,,PURA,0.0077,0.00000097,7.69,50.60,118.07,2.71,-35.94,-30.38,-71.88,-90.61
PRASM,1041,,PSM,0.0002,0.00000002,-0.12,-59.83,-27.58,-71.25,-73.87,-78.21,-92.02,
Billionaire Token,1291,,XBL,0.0267,0.00000338,0.00000000,3.19,-4.70,60.45,-12.67,-29.12,-53.97,-48.06
Qurito,1491,,QURO,0.0016,0.00000020,-0.13,-29.24,106.58,-83.34,-75.78,-5.92,-79.64,
PoSToken,1540,,POS,0.0057,0.00000165,0.00,0.00000000,-3.43,-23.87,-28.59,-13.15,-75.73,
DigitalPrice,1160,,DP,0.0092,0.00000117,-59.43,8.32,-13.60,9.40,-15.95,-27.62,-50.10,-79.47
Shekel,1130,,JEW,0.0017,0.00000021,-0.12,78.55,159.67,159.32,158.73,154.19,44.31,-59.74
Lambda,143,,LAMB,0.0599,0.00000756,0.27,-4.42,4.01,440.46,479.44,,,
Xchange,1547,,XCG,0.0006,0.00000007,-0.12,-2.77,30.16,-91.51,-96.53,-98.40,-99.23,
Ethereum Gold,1386,,ETG,0.0040,0.00000050,-0.13,1.56,39.29,-6.50,-43.06,-47.12,-65.50,-65.23
CapdaxToken,1591,,XCD,0.0008,0.00000010,0.00000000,0.00,21.62,-71.24,-66.42,-80.79,-86.32,
Master Contract Token,1592,,MCT,0.0013,0.00000016,0.35,-2.92,10.08,80.09,51.50,51.32,-29.47,
MediBit,1597,,MEDIBIT,0.00001370,0.0000,0.93,0.49,5.34,-2.72,-28.24,-37.85,-79.86,
Databits,1156,,DTB,0.0081,0.00000102,0.00,0.00,-31.27,-90.75,-86.64,-86.26,-95.46,-97.86
Tourist Token,1470,,TOTO,0.00000544,0.0000,-2.67,-16.92,-11.72,-51.44,-67.23,-65.62,-76.99,
MaxCoin,851,,MAX,0.0141,0.00000178,-0.11,14.15,14.15,24.75,-42.11,15.32,-30.27,-79.02
AI Doctor,608,,AIDOC,0.0054,0.00000069,-3.35,-2.21,8.24,58.86,29.33,-0.34,-49.25,-75.12
Niobium Coin,826,,NBC,0.0194,0.00000245,-0.02,-12.48,27.03,2.11,-42.28,-30.50,-72.23,
WavesGo,1212,,WGO,0.0186,0.00000235,0.81,-1.89,13.64,22.44,27.21,20.84,99.49,5.77
Nerva,983,,XNV,0.0283,0.00000357,-0.12,-13.54,14.61,-20.04,-3.52,-33.13,-87.28,
BioCoin,1050,,BIO,0.0004,0.00000005,-0.23,-3.01,6.39,22.25,39.37,25.39,-33.54,-87.80
Zetacoin,992,,ZET,0.0025,0.00000032,9.35,3.01,22.79,105.21,65.08,94.24,91.32,29.17
Cryptojacks,1432,,CJ,0.00007902,0.00000001,-0.13,-1.34,33.32,10.35,-2.01,-34.56,-69.72,-79.09
Carebit,1404,,CARE,0.0003,0.00000004,1.95,-37.43,-24.59,34.01,-14.90,-21.54,-38.28,
EduCoin,1602,,EDU,0.0003,0.00000004,2.35,7.26,18.71,145.83,92.70,132.77,-20.89,-79.01
eBoost,1356,,EBST,0.0029,0.00000037,-0.14,3.87,-79.96,-85.55,-87.54,-88.87,-93.69,-97.51
CommunityGeneration,1429,,CGEN,0.00007851,0.00000001,0.00,-3.43,28.73,117.16,95.30,96.44,21.83,
SportyCo,1196,,SPF,0.0029,0.00000037,4.51,9.84,-26.74,-1.57,-36.49,-15.60,-75.74,-92.05
Moin,1077,,MOIN,0.0341,0.00000431,-0.74,25.80,72.35,164.52,208.18,82.62,-18.76,-53.60
Bitspace,1469,,BSX,0.0015,0.00000019,-0.12,-0.65,157.19,315.43,167.65,137.20,129.30,
Renos,1442,,RNS,0.0009,0.00000011,0.00,1.86,49.34,7.26,-5.88,-9.44,-79.98,-94.54
Gambit,738,,GAM,1.20,0.00034616,-0.48,-0.15,-8.49,-12.99,-16.47,-15.73,-54.64,-78.68
Freyrchain,991,,FREC,0.0009,0.00000011,8.44,13.49,3.03,19.01,10.95,12.26,-44.58,-91.21
CARDbuyers,1601,,BCARD,0.0002,0.00000002,-0.12,-8.63,-23.82,-83.09,-90.39,-94.39,-97.65,
Bitmark,942,,BTM,0.0526,0.00001524,0.00000000,0.00,-0.48,4.30,311.18,319.46,56.09,-74.34
Pesetacoin,984,,PTC,0.0032,0.00000041,-0.12,-11.42,6.26,1.78,7.53,-20.40,-20.80,-86.80
XPA,784,,XPA,0.0201,0.00000254,0.00000000,0.00,0.00000000,-51.72,-73.00,-15.36,-73.01,-71.04
Upfiring,708,,UFR,0.0753,0.00000950,-0.14,0.46,6.52,-58.00,-26.25,1.53,-16.46,-35.34
PlayCoin,1600,,PLY,0.0209,0.00000264,-0.23,3.41,-17.00,-26.97,-37.73,-59.09,-75.69,-82.66
FedoraCoin,812,,TIPS,0.00000497,0.0000,0.03,8.71,35.14,103.73,65.13,52.17,-2.78,-56.48
CampusCoin,1254,,CC,0.0002,0.00000003,-0.13,-22.21,29.56,-27.14,-35.39,-41.77,-73.62,-92.61
BrokerNekoNetwork,1499,,BNN,0.00000492,0.0000,0.00000000,0.00000000,146.03,4.07,-20.02,-61.81,-68.09,
FolmCoin,1532,,FLM,0.0007,0.00000009,-0.12,-9.74,-4.60,-13.62,-70.71,-75.86,-79.99,
SmartFox,1583,,FOX,0.0002,0.00000002,-0.12,-2.80,-13.62,-82.47,-95.08,-98.69,-99.71,
VestChain,74,,VEST,0.0111,0.00000140,-0.12,-3.68,4.33,146.24,180.81,17.29,,
Profile Utility Token,938,,PUT,0.0127,0.00000161,-0.23,5.97,148.83,81.65,48.22,-15.54,5.13,-80.45
Phoenixcoin,1224,,PXC,0.0019,0.00000055,0.00000000,0.00,0.00000000,0.00,-20.06,-5.90,-56.91,-58.62
Nexium,1294,,NXC,0.0013,0.00000017,-0.13,-8.90,-28.53,-78.67,-77.90,-81.84,-92.65,-98.42
KekCoin,890,,KEK,0.0708,0.00000894,-0.13,-3.12,223.41,287.87,234.26,201.38,56.37,-17.30
